"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Vmax_buildSrxn1.1." "Km.1." "hill.1." "LnPrior" "LnData" "LnPosterior"
"135" 490134 0.0210499 0.0285437 133354 103861 1.02542 -18.63971 -1364.983 -1383.622
"136" 490135 0.0210499 0.0285437 133354 103861 1.02542 -18.63971 -1364.983 -1383.622
"137" 490136 0.0210499 0.0285437 133354 103861 1.02542 -18.63971 -1364.983 -1383.622
"138" 490137 0.0210499 0.0285437 133354 103861 1.02542 -18.63971 -1364.983 -1383.622
"139" 490138 0.0210289 0.0288295 133354 103861 1.02542 -18.67637 -1364.588 -1383.264
"140" 490139 0.0210289 0.0288295 133495 103861 1.02542 -19.08676 -1363.832 -1382.918
"141" 490140 0.0210289 0.0286492 133495 103861 1.02552 -19.06379 -1364.06 -1383.124
"142" 490141 0.0210013 0.0286492 133495 103861 1.02549 -19.06434 -1363.856 -1382.92
"143" 490142 0.0210013 0.028768 133495 103861 1.02549 -19.07944 -1363.812 -1382.892
"144" 490143 0.0210013 0.0287152 133720 103952 1.02553 -19.48411 -1363.49 -1382.974
"145" 490144 0.0210013 0.0286584 133720 103982 1.02553 -19.38467 -1363.708 -1383.093
"146" 490145 0.0210013 0.0286933 133614 103982 1.025 -19.05584 -1365.669 -1384.725
"147" 490146 0.0210013 0.0289352 133051 103982 1.025 -17.5014 -1365.222 -1382.724
"148" 490147 0.0210013 0.0289033 133051 103982 1.02462 -17.49728 -1364.319 -1381.817
"149" 490148 0.0210013 0.0289487 133051 103982 1.02471 -17.50315 -1364.069 -1381.572
"150" 490149 0.0213079 0.0289487 132661 103982 1.02472 -16.58475 -1367.777 -1384.362
"151" 490150 0.0213079 0.0289487 132963 103982 1.02495 -17.27779 -1367.439 -1384.716
"152" 490151 0.0213079 0.0289487 133301 103982 1.02466 -18.16295 -1366.18 -1384.343
"153" 490152 0.021258 0.0289487 133301 103982 1.02466 -18.16381 -1365.831 -1383.995
"154" 490153 0.021258 0.0290812 133272 103634 1.02466 -19.22026 -1365.596 -1384.817
"155" 490154 0.021258 0.0290812 133272 103634 1.0246 -19.22026 -1366.057 -1385.278
"156" 490155 0.021258 0.0290812 133272 103602 1.02525 -19.32916 -1364.989 -1384.319
"157" 490156 0.0214696 0.029061 133272 103602 1.02525 -19.32306 -1366.203 -1385.526
"158" 490157 0.0214696 0.0288753 133272 103490 1.02558 -19.69088 -1366.253 -1385.944
"159" 490158 0.0212161 0.0290421 133272 103179 1.02568 -20.86585 -1363.782 -1384.648
"160" 490159 0.0212161 0.028788 133225 103489 1.02561 -19.55785 -1364.725 -1384.283
"161" 490160 0.0212161 0.0288247 133225 103489 1.02556 -19.56255 -1364.604 -1384.166
"162" 490161 0.0212161 0.0288247 133053 103489 1.02556 -19.11387 -1365.477 -1384.591
"163" 490162 0.0212161 0.0288617 133053 103015 1.02588 -20.91122 -1363.958 -1384.87
"164" 490163 0.0211769 0.0288617 133053 103015 1.02588 -20.91192 -1363.711 -1384.623
"165" 490164 0.0211358 0.0288617 133090 103015 1.02588 -21.00542 -1363.272 -1384.278
"166" 490165 0.0211358 0.0287057 132583 103015 1.02588 -19.81039 -1365.471 -1385.281
"167" 490166 0.0211358 0.0287057 132583 102796 1.02588 -20.71114 -1363.886 -1384.597
"168" 490167 0.0211358 0.0287057 132583 102515 1.02597 -21.94449 -1363.055 -1384.999
"169" 490168 0.0211358 0.0289104 132691 102515 1.02597 -22.19818 -1362.588 -1384.786
"170" 490169 0.0212517 0.0289104 132691 102515 1.02546 -22.19609 -1364.656 -1386.852
"171" 490170 0.0212701 0.0289104 132691 102762 1.02546 -21.11042 -1363.984 -1385.095
"172" 490171 0.0212701 0.0289104 132699 102762 1.02546 -21.12787 -1363.989 -1385.117
"173" 490172 0.0212701 0.028818 132699 102762 1.02546 -21.11598 -1364.831 -1385.947
"174" 490173 0.0212743 0.028818 132699 102762 1.02569 -21.1159 -1364.004 -1385.12
"175" 490174 0.0212421 0.028818 132744 102762 1.02569 -21.21755 -1363.741 -1384.959
"176" 490175 0.0212429 0.028818 132395 102762 1.02565 -20.49975 -1364.556 -1385.056
"177" 490176 0.0212429 0.028818 132427 102516 1.02565 -21.63861 -1363.821 -1385.459
"178" 490177 0.0214182 0.0290734 132427 102516 1.02565 -21.66874 -1364.906 -1386.575
"179" 490178 0.0214182 0.0291256 132427 102516 1.02567 -21.67558 -1365.365 -1387.04
"180" 490179 0.0214182 0.0291256 132689 102516 1.02562 -22.21053 -1363.861 -1386.072
"181" 490180 0.0214182 0.0290134 132689 102406 1.02562 -22.69818 -1364.068 -1386.766
"182" 490181 0.021201 0.0290134 132689 102426 1.02565 -22.61195 -1362.459 -1385.071
"183" 490182 0.021201 0.0291401 132965 102426 1.02565 -23.26649 -1361.875 -1385.141
"184" 490183 0.021201 0.0291401 132965 102426 1.02565 -23.26649 -1361.875 -1385.141
"185" 490184 0.0210878 0.0291401 132965 102426 1.02565 -23.26859 -1361.109 -1384.377
"186" 490185 0.0210878 0.0294263 133047 102426 1.02523 -23.51176 -1361.286 -1384.798
"187" 490186 0.0210878 0.0294263 133047 102426 1.02523 -23.51176 -1361.286 -1384.798
"188" 490187 0.0210878 0.0294263 133047 102426 1.02523 -23.51176 -1361.286 -1384.798
"189" 490188 0.0210878 0.029633 133260 102426 1.02509 -24.10017 -1361.205 -1385.305
"190" 490189 0.0210047 0.0295821 133384 102426 1.02533 -24.44458 -1359.975 -1384.419
"191" 490190 0.0210805 0.0295821 133384 102426 1.02533 -24.44309 -1360.483 -1384.926
"192" 490191 0.0210805 0.0294916 133384 102446 1.02533 -24.33648 -1360.929 -1385.265
"193" 490192 0.0210805 0.0296515 133327 102544 1.02533 -23.75017 -1360.745 -1384.495
"194" 490193 0.0210181 0.0296515 133327 102544 1.0254 -23.75139 -1360.557 -1384.308
"195" 490194 0.0210181 0.0296139 133336 102544 1.0254 -23.77401 -1360.311 -1384.085
"196" 490195 0.0211996 0.0293718 132816 102544 1.0254 -22.40478 -1362.267 -1384.671
"197" 490196 0.0211996 0.0293718 132730 102544 1.0254 -22.21157 -1362.636 -1384.848
"198" 490197 0.0210376 0.0293718 132730 102544 1.0254 -22.21462 -1361.629 -1383.844
"199" 490198 0.0210376 0.0293718 132730 102544 1.0254 -22.21462 -1361.629 -1383.844
"200" 490199 0.0210376 0.0291336 132730 103331 1.0252 -18.96225 -1364.98 -1383.942
"201" 490200 0.0210376 0.0291196 132730 102843 1.02507 -20.883 -1362.403 -1383.286
"202" 490201 0.0210376 0.0291196 132730 102843 1.02507 -20.883 -1362.403 -1383.286
"203" 490202 0.0210376 0.0291196 132566 102843 1.02507 -20.53247 -1362.322 -1382.854
"204" 490203 0.0210376 0.0291196 132578 102843 1.0251 -20.55689 -1362.26 -1382.817
"205" 490204 0.0210376 0.0291196 132578 102843 1.025 -20.55689 -1362.521 -1383.077
"206" 490205 0.0210376 0.0291196 132578 102843 1.02504 -20.55689 -1362.382 -1382.939
"207" 490206 0.0211285 0.0292646 132578 102843 1.02497 -20.57427 -1362.704 -1383.278
