"iter"	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"r.1."	"decay.1."	"r.1.1."	"decay.1.1."	"r.1.2."	"decay.1.2."	"r.1.3."	"decay.1.3."	"r.1.4."	"decay.1.4."	"LnPrior"	"LnData"	"LnPosterior"
4995073	0.0227066	0.0161017	0.014111	1.00344	130331	107074	9.93399	0.0654475	0.0128142	8.94903	0.147905	0.661045	0.293002	1.08824	0.125651	1.15213	0.102494	-14.63149	-12888.97	-12903.6
4995074	0.0227066	0.016152	0.014111	1.00344	130331	107074	9.93399	1.04041	0.0128142	8.94903	0.1481	0.661045	0.293019	1.09348	0.12523	1.15213	0.102494	-14.3928	-12888.57	-12902.97
4995075	0.0227066	0.0161423	0.014111	1.00344	130331	107137	9.93399	1.04041	0.0128142	7.79947	0.1481	0.661045	0.292063	1.09734	0.125025	1.15213	0.102494	-13.92252	-12890.05	-12903.97
4995076	0.0230756	0.0160588	0.014111	1.00363	130567	107097	9.93399	1.04041	0.0128142	9.3842	0.1481	0.661045	0.294093	1.09158	0.124688	1.15213	0.102494	-13.93752	-12887.83	-12901.77
4995077	0.0230756	0.0160588	0.013983	1.00363	130567	107186	9.97036	3.5991	0.0128142	8.06805	0.1481	0.650916	0.294093	1.10113	0.124688	1.15213	0.102468	-14.7101	-12888.25	-12902.96
4995078	0.0230756	0.0160588	0.0140183	1.00363	130588	107129	9.97036	1.85281	0.0128142	6.64676	0.1481	0.650916	0.294093	1.10441	0.12458	1.15213	0.102468	-12.4207	-12891.82	-12904.24
4995079	0.0230756	0.0161269	0.0140183	1.00372	130524	107137	9.97036	1.85281	0.0128142	7.24014	0.1481	0.650916	0.294093	1.10441	0.123841	1.18819	0.102634	-12.89806	-12894.28	-12907.18
4995080	0.0244472	0.0161269	0.0140183	1.00372	130524	107144	9.97036	0.494349	0.0128142	7.24014	0.1481	0.650916	0.294093	1.10441	0.125715	1.18819	0.102634	-12.84718	-12890.43	-12903.28
4995081	0.0244472	0.0160758	0.0140183	1.00372	130471	107038	9.97036	0.494349	0.0128142	7.24014	0.148111	0.650916	0.294093	1.07012	0.125715	1.19901	0.102634	-12.32059	-12891.22	-12903.54
4995082	0.0244472	0.0160758	0.0138727	1.00372	130394	107043	9.97036	0.0300468	0.0247315	6.99381	0.148111	0.650916	0.294093	1.05995	0.125681	1.19901	0.102634	-12.8652	-12894.48	-12907.35
