"iter"	"ks_Srxn1"	"kd_Srxn1"	"Ka_Srxn1"	"hill_Srxn1"	"Vmax_Srxn1"	"Km_Srxn1"	"hillact_Srxn1"	"r_Eta"	"decay_Eta"	"LnPrior"	"LnData"	"LnPosterior"
4995127	0.0226048	0.0162501	0.0137614	1.00322	130445	107278	9.98868	1.11635	0.1257	-16.50064	-12888.2	-12904.7
4995128	0.0226048	0.0162501	0.0137614	1.00322	130445	107375	9.98868	1.11203	0.1257	-18.06064	-12887.06	-12905.12
4995129	0.0226048	0.0161891	0.0137614	1.00322	130445	107375	9.98868	1.09384	0.1257	-18.06196	-12884.93	-12903
4995130	0.0226048	0.0161891	0.0137614	1.00322	130445	107375	9.98868	1.07414	0.125402	-18.85685	-12885.96	-12904.81
4995131	0.0226048	0.0161779	0.0137614	1.00322	130445	107375	9.98868	1.0731	0.125691	-18.41175	-12886.73	-12905.14
4995132	0.0226048	0.0161822	0.0137614	1.00322	130445	107375	9.9343	1.0731	0.125691	-19.22277	-12888.24	-12907.47
4995133	0.0226048	0.0162558	0.0137614	1.00322	130445	107375	9.9343	1.0731	0.125691	-19.39086	-12888.37	-12907.76
4995134	0.0232466	0.0162558	0.0137614	1.00315	130445	107375	9.9343	1.0731	0.125937	-16.66316	-12887.89	-12904.55
4995135	0.0232466	0.0162124	0.0137614	1.00327	130445	107350	9.9343	1.0731	0.125066	-16.43858	-12888.06	-12904.5
4995136	0.0232466	0.0162124	0.0137614	1.00314	130308	107326	9.87945	1.0731	0.125066	-17.8597	-12887.99	-12905.85
4995137	0.0232785	0.0162124	0.0137614	1.00314	130308	107326	9.87945	1.10739	0.126197	-17.86056	-12888.76	-12906.62
4995138	0.0232785	0.0162181	0.0137614	1.00314	130318	107257	9.87945	1.10508	0.125246	-15.94332	-12890.03	-12905.98
4995139	0.0232785	0.0162181	0.0138067	1.00298	130318	107277	9.87945	1.07612	0.126358	-15.72491	-12890.09	-12905.81
4995140	0.0232785	0.016347	0.0136498	1.00319	130307	107277	9.87945	1.07612	0.125957	-18.18127	-12890.5	-12908.68
4995141	0.0232785	0.0162902	0.0137425	1.00319	130307	107277	9.87945	1.07612	0.125957	-19.79498	-12888.87	-12908.67
4995142	0.0232785	0.0162902	0.0137425	1.00319	130487	107236	9.93765	1.07612	0.125957	-16.76006	-12887.98	-12904.74
4995143	0.0232785	0.0162902	0.0136579	1.00319	130547	107236	9.93765	1.08255	0.125957	-17.16696	-12888.81	-12905.97
4995144	0.0234658	0.0162902	0.0136579	1.00335	130547	107009	9.96928	1.08255	0.125691	-15.64078	-12891.44	-12907.08
4995145	0.0234658	0.0163256	0.0136579	1.00344	130320	107009	9.96928	1.09291	0.12595	-17.66431	-12888.2	-12905.87
4995146	0.0241554	0.0162108	0.0136579	1.00344	130320	107035	9.96928	1.10073	0.12595	-17.30982	-12888.47	-12905.78
4995147	0.0241554	0.0162108	0.0136579	1.00344	130320	107035	9.96928	1.10073	0.12629	-18.78017	-12887.19	-12905.97
4995148	0.0241554	0.0162005	0.0136579	1.00344	130393	107071	9.96928	1.08324	0.12629	-16.15753	-12889.3	-12905.46
4995149	0.0241554	0.0162005	0.0136579	1.00344	130478	107076	9.93784	1.08324	0.126759	-11.27122	-12896.03	-12907.3
4995150	0.022017	0.0160895	0.0136579	1.00338	130478	106988	9.91874	1.09803	0.126832	-13.52253	-12893.45	-12906.98
4995151	0.0214299	0.0160895	0.0136579	1.00363	130478	106988	9.89848	1.09803	0.126832	-14.27152	-12893.46	-12907.73
4995152	0.0229496	0.0160721	0.0136579	1.00363	130381	106908	9.89848	1.07649	0.126832	-16.62048	-12890.08	-12906.71
4995153	0.0229496	0.0160721	0.0136579	1.00363	130322	107032	9.89848	1.07811	0.127002	-18.14877	-12891.6	-12909.75
4995154	0.024934	0.0160721	0.0136579	1.00363	130322	107097	9.94078	1.0742	0.127002	-18.3473	-12890.98	-12909.33
4995155	0.0245735	0.0160532	0.0136362	1.00363	130486	107097	9.94078	1.0742	0.127002	-16.37794	-12891.35	-12907.72
4995156	0.0245735	0.0160796	0.0136362	1.0037	130486	107148	9.94078	1.0742	0.126512	-15.50847	-12891.87	-12907.38
4995157	0.0245735	0.0160796	0.0136362	1.00373	130511	107149	9.94078	1.0742	0.126512	-14.54451	-12892.02	-12906.57
4995158	0.0245735	0.0160796	0.0136362	1.00373	130588	107149	9.93535	1.0987	0.126512	-14.8871	-12891.99	-12906.88
4995159	0.0245735	0.0159496	0.0136362	1.00412	130588	106958	9.93535	1.0987	0.125854	-15.5019	-12890.97	-12906.47
4995160	0.0224647	0.0159496	0.0133688	1.00412	130501	106958	9.94089	1.0987	0.126045	-15.24338	-12894.3	-12909.54
4995161	0.0222276	0.0159211	0.0133688	1.00412	130501	106993	9.95185	1.08295	0.126045	-15.56203	-12892.55	-12908.11
4995162	0.0222276	0.0159211	0.0133688	1.00412	130501	106963	9.95185	1.08295	0.126045	-15.30664	-12889.88	-12905.19
4995163	0.0222276	0.0158768	0.0133688	1.00412	130501	106963	9.95185	1.08295	0.126335	-14.44304	-12889.84	-12904.29
4995164	0.0222276	0.0158768	0.0133688	1.00412	130429	106963	9.95185	1.08056	0.126911	-14.87714	-12889.33	-12904.21
4995165	0.0218967	0.0157581	0.0134878	1.00412	130429	106911	9.95185	1.08056	0.126021	-15.52784	-12889.66	-12905.19
