"iter" "CDDO,r2,32hR" "CDDO,d2,32hR" "ETA,r2,32hR" "ETA,d2,32hR" "Andr,r2,32hR" "Andr,d2,32hR" "Sul,r2,32hR" "Sul,d2,32hR" "CDDO,r2,48hR" "CDDO,d2,48hR" "ETA,r2,48hR" "ETA,d2,48hR" "Andr,r2,48hR" "Andr,d2,48hR" "Sul,r2,48hR" "Sul,d2,48hR" "kp" "kd" "Kmm" "nu" "Vm2" "Kmu" "nm" "rall" "decayall" "Sul,r1" "Sul,d2" "Andr,r1" "Andr,d2" "ETA,r1" "ETA,d2" "CDDO,r1" "CDDO,d2" "LnPrior" "LnData" "LnPosterior"
"35" 20034 0.833675 0.0765086 3.1439 0.100592 1.71756 0.205548 0.0016948 0.072095 1.48106 0.0694186 0.030091 0.0850177 4.32401 0.12478 1.76429 0.125524 0.0218544 0.0159012 0.0143075 1.00333 130470 107152 9.93217 1.08471 0.0265348 7.70863 0.148446 0.647029 0.292179 1.09173 0.12493 1.1934 0.102533 -12.09643 -12889.95 -12902.05
"36" 20035 1.56745 0.0765086 3.1439 0.103659 3.0257 0.205368 0.00220466 0.072095 0.321688 0.0717592 0.030091 0.0850177 2.57053 0.12478 1.80101 0.125524 0.0218544 0.0159012 0.0143075 1.00345 130470 107152 9.93217 1.49836 0.0265348 7.58044 0.148446 0.647029 0.292179 1.09351 0.125376 1.1894 0.102533 -12.44094 -12891.12 -12903.56
"37" 20036 1.97344 0.0765086 3.1439 0.102503 3.10337 0.204373 0.00220466 0.072095 0.183633 0.0717592 0.030091 0.0845559 1.37985 0.12478 0.312637 0.125524 0.0218544 0.0157324 0.0143075 1.00346 130470 107152 9.93217 1.49836 0.0265348 7.39599 0.148446 0.647029 0.292179 1.09351 0.125376 1.1894 0.102533 -12.35661 -12891.83 -12904.19
"38" 20037 1.97344 0.0765086 1.462 0.1042 4.56786 0.205835 0.00220466 0.072095 2.00652 0.0717592 0.030091 0.0845559 1.37985 0.12478 0.312637 0.125524 0.0218544 0.0157994 0.0143075 1.00347 130470 107152 9.88842 3.20689 0.142295 10.3434 0.148453 0.647029 0.292965 1.09351 0.125376 1.1894 0.102546 -15.3223 -12889.04 -12904.36
"39" 20038 1.97344 0.0765086 1.01876 0.1042 4.56786 0.205835 0.00281813 0.072974 1.58665 0.0717592 0.030091 0.0845559 1.23791 0.124321 0.512137 0.125524 0.0218544 0.015942 0.0143075 1.00318 130470 107152 9.9074 3.20689 0.142295 10.3434 0.148453 0.647029 0.292965 1.12126 0.125376 1.1894 0.102061 -14.42082 -12890.55 -12904.97
"40" 20039 1.54814 0.0765086 2.41047 0.102593 4.71419 0.205835 0.00306716 0.072974 0.742411 0.0717592 0.030091 0.0845559 1.23791 0.124321 2.21792 0.125524 0.0218544 0.015942 0.0142012 1.00318 130470 107229 9.82127 3.20689 0.142295 10.3434 0.148592 0.647029 0.289771 1.12126 0.125376 1.1894 0.102061 -15.56738 -12898.59 -12914.16
"41" 20040 1.399 0.0765086 2.74386 0.102593 4.85797 0.206227 0.00359586 0.072974 1.43258 0.0717592 0.030091 0.0845559 1.23791 0.124321 3.46005 0.125524 0.0218544 0.0159548 0.0142012 1.00356 130522 107229 9.82127 0.720887 0.142295 8.22081 0.148324 0.647029 0.289771 1.12126 0.125376 1.19697 0.102495 -14.70615 -12897.11 -12911.81
"42" 20041 2.50145 0.0765086 2.74386 0.102593 4.85797 0.206227 0.00438555 0.072974 1.93542 0.0717592 0.030091 0.0845559 1.23791 0.124321 0.407875 0.125524 0.0218544 0.0159548 0.0142012 1.00361 130522 107228 9.97679 0.720887 0.592982 8.77321 0.148324 0.647029 0.289771 1.12126 0.123467 1.14123 0.102495 -17.47794 -12895.39 -12912.86
"43" 20042 2.50145 0.0765086 1.59589 0.102593 4.85797 0.204779 0.00275525 0.0729359 2.21233 0.0717592 0.030091 0.0845559 1.73589 0.124321 0.407875 0.125524 0.0218544 0.0159548 0.0142012 1.00361 130522 107228 9.97679 0.720887 0.592982 9.79756 0.148324 0.647029 0.289771 1.12126 0.123467 1.14123 0.102276 -18.45295 -12894.66 -12913.11
"44" 20043 1.88365 0.0758046 0.309395 0.102593 4.85797 0.204779 0.00496071 0.0729359 2.21233 0.0717592 0.030091 0.0862536 1.73589 0.124321 0.53547 0.125524 0.0235352 0.0159336 0.0142012 1.00361 130522 107228 9.93699 2.54113 0.592982 9.79756 0.148324 0.621015 0.289929 1.12126 0.123467 1.16885 0.102076 -18.32336 -12893.32 -12911.65
